source_text,true_loinc,true_text,pred_loinc,pred_text,pred_score,true_target_rank,is_correct,top_5_loincs,top_5_scores,error_category,source_length,source_word_count
hemoglobin blood,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.1722917,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1723,-0.2347,-0.3168,-0.3985,-0.4921",,16,2
hgb serum,718-7,Hemoglobin [Mass/volume] in Blood,10004-0,Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis,-0.32897466,2,False,"10004-0,718-7,10003-2,777-3,6690-2","-0.3290,-0.3377,-0.3812,-0.4474,-0.4650",AMBIGUOUS_SOURCE,9,2
hgb,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.1624189,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1624,-0.1805,-0.2008,-0.3780,-0.4257",,3,1
hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.14712751,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1471,-0.2389,-0.3464,-0.4082,-0.4621",,10,1
potassium serum,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.24711144,1,True,"2823-3,10175-1,10000-8,10075-2,10266-1","-0.2471,-0.5487,-0.5570,-0.5703,-0.5741",,15,2
potassium plasma,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.50585705,1,True,"2823-3,10007-3,10000-6,10020-2,10107-2","-0.5059,-0.6242,-0.6400,-0.6452,-0.6462",,16,2
k,2823-3,Potassium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.42670584,4,False,"10002-4,10001-6,10009-9,2823-3,2951-2","-0.4267,-0.4272,-0.6170,-0.7727,-0.7757",SPECIMEN_MISMATCH,1,1
k+,2823-3,Potassium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.4429204,3,False,"10002-4,10001-6,2823-3,10009-9,2951-2","-0.4429,-0.4485,-0.6564,-0.6833,-0.7139",SPECIMEN_MISMATCH,2,1
wbc count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.35137057,1,True,"6690-2,718-7,777-3,10004-0,10003-2","-0.3514,-0.4693,-0.4759,-0.4871,-0.5763",,9,2
white blood cell count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.46891546,1,True,"6690-2,718-7,777-3,10004-0,10003-2","-0.4689,-0.5675,-0.5690,-0.6162,-0.7276",,22,4
leukocytes,6690-2,Leukocytes [#/volume] in Blood by Automated count,10002-4,Lead [Moles/volume] in Urine,-0.4310645,3,False,"10002-4,10001-6,6690-2,10009-9,10004-0","-0.4311,-0.4405,-0.5633,-0.6610,-0.7828",SPECIMEN_MISMATCH,10,1
white count,6690-2,Leukocytes [#/volume] in Blood by Automated count,10248-4,Synthetic LOINC code 10248-4,-0.63978404,-1,False,"10248-4,10161-4,10244-2,10237-4,10234-2","-0.6398,-0.6585,-0.6618,-0.6727,-0.6729",COMPLETELY_DIFFERENT,11,2
plt,777-3,Platelets [#/volume] in Blood by Automated count,10001-6,Lead [Mass/volume] in Urine,-0.44868773,-1,False,"10001-6,10002-4,10009-9,10008-1,10257-7","-0.4487,-0.4580,-0.6504,-0.6604,-0.6685",SPECIMEN_MISMATCH,3,1
platelet count,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.17733067,1,True,"777-3,6690-2,718-7,10004-0,10003-2","-0.1773,-0.2529,-0.3308,-0.4684,-0.5080",,14,2
thrombocytes,777-3,Platelets [#/volume] in Blood by Automated count,718-7,Hemoglobin [Mass/volume] in Blood,-0.35216272,3,False,"718-7,6690-2,777-3,10004-0,10003-2","-0.3522,-0.4012,-0.4348,-0.4460,-0.5533",AMBIGUOUS_SOURCE,12,1
platelets,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.44742137,1,True,"777-3,6690-2,718-7,10004-0,10037-0","-0.4474,-0.4577,-0.4933,-0.6196,-0.6696",,9,1
sodium,2951-2,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.23327273,2,False,"2951-2 ,2951-2,10002-4,10001-6,10223-7","-0.2333,-0.2333,-0.4717,-0.4753,-0.6199",SIMILAR_DESCRIPTION,6,1
na,2951-2,Sodium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.4773056,3,False,"10002-4,10001-6,2951-2,2951-2 ,10009-9","-0.4773,-0.5085,-0.5862,-0.5862,-0.6827",SPECIMEN_MISMATCH,2,1
sodium level,2951-2,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.1922701,2,False,"2951-2 ,2951-2,10001-6,10002-4,2823-3","-0.1923,-0.1923,-0.5055,-0.5145,-0.6557",SIMILAR_DESCRIPTION,12,2
na serum,2951-2 ,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.32084918,1,True,"2951-2 ,2951-2,2823-3,10008-1,10223-7","-0.3208,-0.3208,-0.4046,-0.4635,-0.5804",,8,2
